Nest type,Nest,Date,Group size,No. arrivals,Total Brood,Brood_per_active_day,Foraging.Time.Total,Prop_time_off_nest,Average_Forage,Total_Available,Av_w_size,Q_size,Relative_Diff
QR,536,20/06/2018,3,21,7,0.4375,1030.55,0.624121851,343.5166668,550.4,1.9065,2.311,0.824967547
QR,561,19/06/2018,2,4,8,0.615384615,1000.816667,0.906728475,500.4083332,551.8833333,1.941,2.253,0.861517976
QR,563,20/06/2018,4,31,28,1.555555556,1395.416667,0.65109027,348.8541667,535.8,1.867,2.287,0.816353301
QR,563,25/06/2018,3,29,28,1.555555556,867.0166667,0.531618534,289.0055557,543.6333333,1.867,2.287,0.816353301
QR,592,15/06/2018,6,51,32,2,1975.983333,0.597461172,329.3305557,551.2166667,1.8675,2.161,0.864183248
QR,592,20/06/2018,4,41,32,2,1363.8,0.646820754,340.9499998,527.1166667,1.8675,2.161,0.864183248
QR,659,19/06/2018,6,64,42,2.333333333,2186.566667,0.672375974,364.4277779,542,1.8865,2.132,0.884849906
QR,659,23/06/2018,4,45,42,2.333333333,1514.133333,0.688910459,378.5333335,549.4666667,1.8865,2.132,0.884849906
QR,691,10/06/2018,4,46,9,0.9,1478.6,0.67682871,369.65,546.15,1.791,2.142,0.836134454
QR,691,15/06/2018,3,35,9,0.9,1215.266667,0.730877562,405.0888887,554.25,1.791,2.142,0.836134454
